测点,X,Y,Z
859,-200,20,-874.8660166
860,-195,20,-876.2905245
861,-190,20,-877.7904166
862,-185,20,-879.3247796
863,-180,20,-880.8571693
864,-175,20,-882.3449905
865,-170,20,-883.7307803
866,-165,20,-884.9360394
867,-160,20,-885.859386
868,-155,20,-886.3930794
869,-150,20,-886.4836046
870,-145,20,-886.1816272
871,-140,20,-885.5958365
872,-135,20,-884.8221483
873,-130,20,-883.9310281
874,-125,20,-882.9952054
875,-120,20,-882.1722582
876,-115,20,-881.8629831
877,-110,20,-882.3720066
878,-105,20,-883.3213282
879,-100,20,-884.3749863
880,-95,20,-885.4417399
881,-90,20,-886.5005991
882,-85,20,-887.5515323
883,-80,20,-888.6068817
884,-75,20,-889.6866385
885,-70,20,-890.8231964
886,-65,20,-892.0651603
887,-60,20,-893.4901458
888,-55,20,-895.2246352
889,-50,20,-897.4747329
890,-45,20,-900.4674559
891,-40,20,-904.0860969
892,-35,20,-907.6650592
893,-30,20,-910.5249643
894,-25,20,-912.5844941
895,-20,20,-914.2694417
896,-15,20,-916.0043534
897,-10,20,-917.9222029
898,-5,20,-919.978629
899,0,20,-922.0580091
900,5,20,-924.0540204
901,10,20,-925.9145476
902,15,20,-927.6568952
903,20,20,-929.356702
904,25,20,-931.1496148
905,30,20,-933.2137556
906,35,20,-935.7347498
907,40,20,-938.7752783
908,45,20,-942.1636504
909,50,20,-945.5022592
910,55,20,-948.3892118
911,60,20,-950.6960911
912,65,20,-952.6083081
913,70,20,-954.3897209
914,75,20,-956.1984567
915,80,20,-958.0872646
916,85,20,-960.0378738
917,90,20,-961.9938981
918,95,20,-963.8873102
919,100,20,-965.6695329
920,105,20,-967.3292319
921,110,20,-968.8773877
922,115,20,-970.3356392
923,120,20,-971.7214736
924,125,20,-973.045246
925,130,20,-974.3075686
926,135,20,-975.5083742
927,140,20,-976.6539062
928,145,20,-977.7607716
929,150,20,-978.8493034
930,155,20,-979.9463393
931,160,20,-981.0788108
932,165,20,-982.259924
933,170,20,-983.4811019
934,175,20,-984.7204585
935,180,20,-985.96121
936,185,20,-987.1912119
937,190,20,-988.4016679
938,195,20,-989.5858516
939,200,20,-990.7385967
940,205,20,-991.8566059
941,210,20,-992.9383234
942,215,20,-993.9830219
943,220,20,-994.9901224
944,225,20,-995.9589441
945,230,20,-996.8885046
946,235,20,-997.7771372
947,240,20,-998.6218488
948,245,20,-999.4177012
949,250,20,-1000.1587
950,255,20,-1000.842093
951,260,20,-1001.472204
952,265,20,-1002.057564
953,270,20,-1002.606082
954,275,20,-1003.123528
955,280,20,-1003.613986
956,285,20,-1004.080493
957,290,20,-1004.525455
958,295,20,-1004.950876
959,300,20,-1005.358479
960,305,20,-1005.749772
961,310,20,-1006.126092
962,315,20,-1006.488628
963,320,20,-1006.838446
964,325,20,-1007.176516
965,330,20,-1007.503734
966,335,20,-1007.820964
967,340,20,-1008.129083
968,345,20,-1008.429053
969,350,20,-1008.722033
970,355,20,-1009.009561
971,360,20,-1009.293873
972,365,20,-1009.578464
973,370,20,-1009.869091
974,375,20,-1010.175361
975,380,20,-1010.51215
976,385,20,-1010.897109
977,390,20,-1011.339752
978,395,20,-1011.83239
979,400,20,-1012.357655
980,405,20,-1012.900135
981,410,20,-1013.449728
982,415,20,-1014.000395
983,420,20,-1014.548522
984,425,20,-1015.091853
985,430,20,-1015.628864
986,435,20,-1016.158406
987,440,20,-1016.679452
988,445,20,-1017.19089
989,450,20,-1017.691266
990,455,20,-1018.178395
991,460,20,-1018.648718
992,465,20,-1019.096283
993,470,20,-1019.511738
994,475,20,-1019.883641
995,480,20,-1020.205221
996,485,20,-1020.48086
997,490,20,-1020.721878
998,495,20,-1020.9387
999,500,20,-1021.138293
1000,505,20,-1021.324885
1001,510,20,-1021.501046
1002,-200,25,-875.2491991
1003,-195,25,-876.547293
1004,-190,25,-877.9154888
1005,-185,25,-879.3118196
1006,-180,25,-880.6951877
1007,-175,25,-882.0199149
1008,-170,25,-883.2307775
1009,-165,25,-884.2619022
1010,-160,25,-885.0400098
1011,-155,25,-885.4996142
1012,-150,25,-885.6120145
1013,-145,25,-885.399338
1014,-140,25,-884.920034
1015,-135,25,-884.2381864
1016,-130,25,-883.4124652
1017,-125,25,-882.5202969
1018,-120,25,-881.7274151
